place,description,category,price,latitude,longitude
Desa Wisata Sungai Code Jogja Kota,"Kampung Code is located in Kotabaru Village, Gondokusuman District, Yogyakarta City. The exact location is in RT 01/RW 01 south of the Gondolayu Bridge on Jl Jenderal Sudirman or on the east side of the Code River bank that divides Yogyakarta City. Kampung Code is located right on the Code River bank that stretches south with a cliff-like land contour from top to bottom. The upper part that is close to Jl Faridan M. Noto is mostly used by residents for car tire service/buying and selling businesses. While the lower part is a residential area. Kampung Code, which was originally an ordinary village, was transformed into a work of art thanks to the services of an architect and Catholic religious leader, Father YB Manguwijaya.",Taman Hiburan,0,-7.8229089,110.3756894
Alun Alun Selatan Yogyakarta,"Alun-alun Selatan or now better known as Alun-alun Kidul (Alkid) is a square located to the south of the Yogyakarta palace. This square is in the form of a wide sandy field, with an area of ​​approximately 160m x 160m. This square is surrounded by a 2.20m high brick wall fence, 30cm thick, many of which have collapsed and are damaged. The wall fence that can be seen now is a new wall fence, built by Sri Sultan Hamengkubuwono VII during his reign in 1877-1921 AD.",Taman Hiburan,0,-7.8116719,110.363238
Monumen Yogya Kembali,"The Yogya Kembali Monument Museum (Javanese: ꦩꦺꦴꦤꦸꦩꦺꦤ꧀​ꦪꦺꦴꦒꦾ​ꦏꦼꦩ꧀ꦧꦭꦶ, translit. Monumèn Yogya Kembali) commonly known as the Jogja Kembali Monument abbreviated as Monjali is a museum of the history of the Indonesian independence struggle in the Special Region of Yogyakarta and managed by the Ministry of Tourism and Creative Economy. The museum, located in the northern part of the city, is often visited by students on field trips.\n\nThis cone-shaped monument museum consists of 3 floors and is equipped with a library and a multi-purpose room. On the entrance gate are written the names of 422 heroes who died in the Wehrkreise III (RIS) area between December 19, 1948 and June 29, 1949. In the 4 museum rooms on the 1st floor there are collection objects: reliefs, replicas, photos, documents, heraldry, various types of weapons, evocative forms of public kitchens in the atmosphere of the 1945-1949 war of independence. The stretcher and dokar (horse-drawn carriage) that were once used by Commander-in-Chief General Soedirman are also stored here (in museum room number 2). The Yogya Kembali Monument is located at Jl. North Ring Road, Sleman Regency, Special Region of Yogyakarta.",Budaya,15000,-7.7495904,110.3696068
Taman Pelangi Yogyakarta,"Taman Pelangi Yogyakarta is a night tourist spot that displays colorful lantern lights, so it looks like a rainbow. This tourist park is located on Jalan Padjajaran (formerly known as Jalan Ring Road Utara), and is located at the location of the Yogya Kembali Monument Museum (Monumen Jogja Kembali) Yogyakarta. Taman Pelangi has more than 20 types of games, 25 food stalls and drink stalls. This rainbow park can be enjoyed from afternoon to evening, or from 17.00 to 23.00. Your night will feel complete and perfect in Taman Pelangi with many lit lanterns giving an interesting impression to calm the mind.",Taman Hiburan,15000,-7.7505259,110.3687049
Kampung Wisata Kadipaten,"Kadipaten Tourism Village is geographically located in Kadipaten Village, Kraton District. Its existence also functions as a buffer for the Yogyakarta Sultanate Palace tourist attraction. In accordance with the existing potential, Kadipaten Tourism Village then raised the theme ""Art and Heritage Tourism"" as its branding. This tourism village area is very unique and specific because there are many cultural heritage sites there, especially the Dalem Pangeran building. The name Kadipaten itself is said to come from the name of the area where there are many cultural heritage sites, especially the Dalem Pangeran building. The name Kadipaten is said to come from the name of the area where many relatives of the Kraton live who are also the worshippers of the Kraton.",Budaya,0,-7.806093,110.35831
Taman Budaya Yogyakarta,"Taman Budaya Yogyakarta (TBY) (Hanacaraka: ꦠꦩꦤ꧀​ꦧꦸꦢꦪ​ꦔꦪꦺꦴꦒꦾꦏꦂꦠ, Javanese: Taman Budaya Ngayogyakarta) is a tourist facility located on Jalan Sri Wedani No. 1, Yogyakarta. TBY has a building complex that functions as a place for exhibitions, performances, and various other art activities. TBY is a Technical Implementation Unit (UPTD) at the Cultural Service of the Special Region of Yogyakarta Province. The function of TBY is as a cultural center including the development and processing of documentation centers, showcases, and information on arts, culture and tourism.",Budaya,0,-7.8001041,110.3676579
Kampung Wisata Sosro Menduran,"Sosromenduran tourist village is a very unique tourist village because it is based on multi-culture, accommodation and shopping while also functioning as a buffer for the Malioboro Tourist Object area. In terms of territory, the Sosromenduran tourist village is located in Sosromenduran Village, Gedongtengen District. Its location is very strategic because it is next to the Malioboro area and is also very close to the Tugu Train Station and there are many tourism facilities such as hotels, homestays, stalls and restaurants, travel, money changers, coffee, car rentals, motorbikes and even bicycles and what is very interesting in the Sosromenduran tourist village there are also many producers of oblong t-shirt souvenirs which are also widely sold along Malioboro Street",Budaya,0,-7.79219,110.362151
Monumen Batik Yogyakarta,"The government's attention to batik culture is very large, this is because the culture is directly related to the Javanese people. Commemorating National Batik Day today, travelers can take a walk to the batik monument in Jogja. The government's attention to batik culture is very large, this is because the culture is directly related to the Javanese people. Commemorating National Batik Day today, travelers can take a walk to the batik monument in Jogja.",Budaya,40000,-7.8011159,110.3646172
Tugu Pal Putih Jogja,"Tugu Yogyakarta (Javanese: , Tugu Ngayogyakarta) is an important historical landmark in the city of Yogyakarta, Indonesia. Tugu means monument, which is usually built as a symbol of an area that conceptualizes the characteristics of the area. Due to its historical background, Tugu Yogyakarta has become a historical icon of the city. Tugu Yogyakarta is located right in the middle of the intersection between Jalan Mangkubumi, Jalan Sudirman, Jalan A.M Sangaji, and Jalan Dipenogoro of the city.",Taman Hiburan,0,-7.7829437,110.3670548
Tebing Breksi,"Tebing Breksi is a tourist attraction located in Sleman Regency. Its location is south of Prambanan Temple and close to Ijo Temple and the Boko Palace Complex. The location of Tebing Breksi Tourism is precisely in Sambirejo Village, Prambanan, Sleman Regency, Special Region of Yogyakarta 55572.",Budaya,20000,-7.7815714,110.5045827
Candi Donotirto,"Although attached to the word temple, Donotirto Temple is not a relic of the Hindu-Buddhist era in Yogyakarta. This place was built by the Dutch government. There are two parts, namely the western part for men and the eastern part for women. Each is fed by 5 water fountains sourced from the Winogo River, meaning there are 10 fountains there. Until now, this place is still maintained by local residents even though it is used as a public toilet. Therefore, do not be reluctant to set aside your money to replace the maintenance and cleaning costs of this place.",Budaya,0,-7.7955613,110.3612095
Kawasan Malioboro,"Malioboro Street is the name of one of the three streets in Yogyakarta City that stretches from the Yogyakarta Monument to the Yogyakarta Post Office intersection. Overall, it consists of Margo Utomo Street, Malioboro Street, and Margo Mulyo Street. This street is the axis of the Imaginary Line of the Yogyakarta Palace.",Taman Hiburan,0,-7.793167,110.3655238
Bangsal Pagelaran,"The main building is Bangsal Pagelaran which was formerly known as Tratag Rambat. In its time, Pagelaran was a place for the sultanate's officials to meet the Sultan at official ceremonies. Now it is often used for tourism, religious, and other events in addition to traditional palace ceremonies. A pair of Bangsal Pemandengan are located on the far east and west sides of Pagelaran. In the past, this place was used by the Sultan to watch war exercises in Alun-alun Lor.",Budaya,5000,-7.8052843,110.3642137
Embung Tambakboyo,"Tambakboyo reservoir or reservoir is a water conservation located in Tambakboyo Hamlet, Depok District, Sleman Regency, Yogyakarta. This reservoir utilizes water sources from the Tambak Bayan River and the Buntung River with an area of ​​7.8 ha. This reservoir was built from 2003 to 2008 and was inaugurated a year later.",Taman Hiburan,0,-7.756227,110.4150131
Hutan Pinus Pengger,"Pengger Pine Forest (Javanese: ꦄꦭꦱ꧀​ꦥꦶꦤꦸꦱ꧀​ꦥꦼꦁ​ꦒꦼꦂ​, translit. Alas Pinus​ Pěnggěr) is one of the mainstay tourist attractions in Bantul Regency. This natural tourism is located in Sendangsari, Terong Village, Dlingo District, Bantul Regency, Special Region of Yogyakarta.\nPengger Pine Forest is easy to reach because it is located on the side of the Patuk-Dlingo road km 4.5.\nAlthough it still sounds foreign, among lovers of walking around tourist attractions, Pengger Pine Forest is quite popular. This place is still considered foreign because it was only officially opened on April 7, 2016. This Pine Forest is very popular with tourist attraction creators, because this tourist attraction offers very beautiful natural scenery.",Taman Hiburan,3000,-7.8704832,110.4599108
Monumen Serangan Umum 1 Maret,"The March 1 General Attack Monument is located in the area around the Vredeburg Fort Museum, right in front of the Yogyakarta Main Post Office. This monument was built to commemorate the Indonesian army's attack on the Dutch on March 1, 1949. At that time, the Indonesian state was considered paralyzed and non-existent by the Dutch. To prove that the Indonesian state still existed, a massive attack was carried out. This attack was carried out by the Indonesian National Army (TNI) led by Lieutenant Colonel Soeharto, Commander of Brigade 10, Wehrkreise III area.",Taman Hiburan,3000,-7.8010124,110.3653376
Puncak Pinus Becici,"Puncak Pinus Becici or Puncak Becici is a tourist attraction located in Muntuk Village, Dlingo District, Bantul Regency, Yogyakarta. The scenery in this area is very beautiful with a stretch of hills covered with pine trees and you can see the charm of Yogyakarta City from a height with a viewing post. From the north you can see Prambanan Temple, the south looks like a straight line which is the South Coast and you can see Mount Merapi and Mount Sindoro.",Taman Hiburan,3000,-7.9020355,110.4374627
Bukit Bintang Yogyakarta,"Bukit Bintang is one of the favorite hangout spots in Yogyakarta. When night falls, the view of Yogyakarta is very beautiful! Located on the border of Bantul and Gunungkidul, anyone who visits this area can enjoy the sprinkling of stars in the night sky and the twinkling lights of the city from a height. This city has Bukit Bintang which is always crowded with young people to enjoy the beauty of the night. Bukit Bintang is the perfect place to enjoy the dusk until night falls.",Taman Hiburan,25000,-7.8458407,110.4798457
Gedung Agung Yogyakarta,"Yogyakarta Palace, known as Gedung Agung (Javanese: ꦒꦼꦝꦺꦴꦁ​ꦄꦒꦼꦁ, translit. Gedhong Ageng) is located in the center of the city, precisely at the southern end of Jalan Ahmad Yani, formerly known as Jalan Margomulyo. The palace area is located in Ngupasan Village, Gondomanan District, Yogyakarta City, and is at an altitude of 120 m above sea level. The palace complex occupies an area of ​​43,585 m².",Budaya,0,-7.8001506,110.3637507
The Lost World Castle,"The Lost World Castle is one of the tourist attractions in the slopes of Mount Merapi located in Petung Hamlet, Kepuharjo Cangkringan Village, Sleman, Special Region of Yogyakarta, Indonesia. This tourist attraction was built to resemble Takeshi's Castle and was built on 1.3 hectares of land in 2016. Visitors who want to enter the Lost World Castle area will be charged Rp 25,000 per person and does not include parking fees. The car parking fee is Rp 5,000.00, while the parking fee for motorbikes is Rp 2,000.00.",Taman Hiburan,30000,-7.6041648,110.4510042
Monumen Sanapati,"The Sanapati Monument was built to commemorate 50 years of Indonesian cryptography in Yogyakarta. Cryptography in Yogyakarta played a major role in maintaining the independence of the Republic of Indonesia. It was recorded that during the General Offensive on March 1, 1949, the code created by Roebiono was still used to spread the message to the world that Indonesia still existed and could still fight. Furthermore, the event was known as the 6-hour Incident in Yogyakarta. The Sanapati Monument is located in the Kotabaru area, precisely in the middle of the intersection of Jalan Abu Bakar Ali, in the front garden of the Santo Antonius Church. The Sanapati Monument building is shaped like a pointed triangle resembling a pyramid with a height of 3 meters and a width of 2.5 meters. The monument was designed by Drs Kasman and inaugurated by the Minister of State Secretary of the Republic of Indonesia at that time, Moerdiono, on April 4, 1996, right on Indonesian Cryptography Day. The construction of the monument took one month and cost 25 million rupiah.",Budaya,15000,-7.7881728,110.3715403
Jurang Tembelan Kanigoro,"Tembelan Kanigoro Canyon is located in Mangunan Tourism Village, Dlingo, Bantul. Familiar with Mangunan Village, right? This area does have good, cheap tourist attractions. Including Tembelan Kanigoro Canyon which is not far from Mangunan Fruit Garden or Panguk Kediwung Hill. From Jogja, head your vehicle towards Jalan Imogiri Timur, after arriving at the T-junction near Imogiri Market, follow the directions to Mangunan. To get there, check the condition of your vehicle first. Roads that go up and down and sharp bends must be watched out for. For those using large vehicles such as buses, it is advisable to detour through Bukit Bintang Gunung Kidul. In addition, always be careful and stay focused while driving.",Taman Hiburan,2500,-7.9401065,110.4300062
The World Landmarks - Merapi Park Yogyakarta,"Merapi Park is one of the tourist attractions in Yogyakarta located on Jalan Kaliurang km 22, Hargobinangun, Pakem District, Sleman Regency. Merapi Park began operating on June 25, 2017. The facilities available include a place for taking photos",Taman Hiburan,22000,-7.6209046,110.4216275
Museum Sonobudoyo Unit I,"Museum Sonobudoyo is a museum and library of Javanese history and culture in Yogyakarta, Indonesia. The museum contains the most complete collection of Javanese artifacts, after the National Museum in Jakarta. In addition to Neolithic ceramics and 8th-century bronze statues, the museum also houses a collection of wayang, various ancient weapons (such as keris), and Javanese masks. Museum Sonobudoyo consists of two units, Unit I is located at Jalan Trikora No. 6 Yogyakarta, and Unit II is located at Ndalem Condrokiranan, Wijilan, east of the main square (north) of the city.",Budaya,5000,-7.8024499,110.3639555
Lava Bantal,"The DIY region offers a number of tourism potentials, especially river-based tourism. One of them that is now a tourist favorite is Lava Bantal located in Berbah District, Sleman Regency. As the name implies, this tourist attraction offers rocks that are thought to come from incandescent lava from an underwater volcano that dried up hundreds of years ago. Spread across the Opak River, the rocks are a unique sight that can attract the attention of travelers. It is said that the existence of Lava Bantal contributed greatly to the formation of Java Island. Natural phenomena such as those that occur in Lava Bantal are very rare. On Java Island, similar phenomena can only be found in Karangsambung (Kebumen), Ciletuh (West Java), and in Berbah (DIY). With a long geological history background, since October 2, 2014, the government has designated this tourist attraction as a geo heritage. This means that all the geological uniqueness in the tourist attraction is classified as an object protected by the government.",Budaya,5000,-7.8081518,110.4595183
Bukit Panguk Kediwung,"Panguk Kediwung Hill is one of the tourist attractions that offers natural scenery from a height. When compared to other hill tourist attractions in Bantul, Panguk Kediwung Hill is indeed relatively new because it was opened in 2016. But make no mistake, this location has stolen the hearts of many visitors from within and outside the city. Panguk Kediwung Hill is located in Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Don't worry about getting lost because along the way to the location we will see several signs. Approximately 20 km from the center of Yogyakarta City. From the center of Yogyakarta City you can move south precisely towards Jalan Imogiri Timur, follow the road until you find Imogiri Market, then turn left and continue the journey towards Dlingo, from there you will start to see signs to Panguk Kediwung Hill. The road access to Panguk Kediwung Hill has been smoothly paved, only the contour is slightly up and down but still in the safe category. It is highly recommended to use a private vehicle because access here using public transportation is quite difficult.",Budaya,250000,-7.9583695,110.4407622
Candi Prambanan,"Prambanan Temple or Roro Jonggrang Temple (Javanese: ꦕꦤ꧀ꦝꦶ​ꦥꦿꦩ꧀ꦧꦤꦤ꧀, translit. Candhi Prambanan) is the largest Hindu temple complex in Indonesia built in the 9th century AD. This temple is dedicated to Trimurti, the three main Hindu gods, namely Brahma as the creator god, Vishnu as the preserver god, and Shiva as the destroyer god. Based on the Siwagrha inscription, the original name of this temple complex is Siwagrha (Sanskrit meaning 'House of Shiva'), and indeed in the garbagriha (main room) of this temple there is a three-meter-high statue of Shiva Mahadewa which shows that in this temple the god Shiva is more important. The Prambanan Temple temple complex as a whole is located in the province of the Special Region of Yogyakarta, but the administrative entrance is in the Special Region of Surakarta (now part of Central Java Province), this is what makes Prambanan Temple located in 2 places, namely in Bokoharjo Village, Prambanan District, Sleman Regency, and in Tlogo Village, Prambanan District, Klaten Regency, or approximately 17 kilometers northeast of Yogyakarta, 50 kilometers southwest of Surakarta and 120 kilometers south of Semarang, right on the border between the Special Region of Yogyakarta and the Special Region of Surakarta. This temple is a UNESCO World Heritage Site, the largest Hindu temple in Indonesia, and one of the most beautiful temples in Southeast Asia. The architecture of this building is tall and slender in accordance with Hindu architecture in general with the Shiva temple as the main temple reaching a height of 47 meters towering in the middle of a complex of smaller temples. As one of the most magnificent temples in Southeast Asia, Prambanan temple is an attraction for tourists from all over the world. According to the Siwagrha inscription, this temple began to be built around 850 AD by Rakai Pikatan, and continued to be developed and expanded by Balitung Maha Sambu, during the Medang Mataram kingdom.",Budaya,50000,-7.7520206,110.4914674
Watu Goyang,"Watu Goyang comes from Javanese which means a rock that shakes. In the past, there was a rock at the top of this place that could shake when touched or pushed. The rock has been there for hundreds of years. The managers explained that Watu Goyang never collapsed even when touched or climbed, but the managers strictly forbade visitors who tried to climb Watu Goyang because it would be very dangerous for safety. The uniqueness of the giant rock is its structure which contains unique protrusions. The natural scenery is still green and Mount Merapi looks very natural, very suitable for visitors to relieve boredom with daily activities in the city. Being at this peak, visitors will feel the cool air temperature, especially in the morning. And when during the day, even though the weather is hot, the breeze that greets you feels fresh and comfortable.",Budaya,2500,-7.9274086,110.4120586
Kampung Wisata Rejowinangun,"Rejowinangun tourism village is located in Rejowinangun Village, Kotagede District, Yogyakarta City, precisely south of Gembiraloka Zoo. This tourism village has been pioneered since 2010 and with the cooperation of all elements of society, on October 4, 2013 by the Head of the Yogyakarta City Tourism Office, Rejowinangun Tourism Village was inaugurated. Rejowinangun Village is one of three villages in Kotagede District, a district on the eastern tip of Yogyakarta City which is famous for its silver and the former Mataram kingdom. Rejowinangun Village has a lot of potential that if developed would be truly extraordinary, although currently the only famous one is the Gembiraloka Botanical Garden (KRKB) which is located in the Rejowinangun Village area. With the presence of the KRKB Gembiraloka tourist spot in this area, it is trying to develop the village area with the existing potential so that tourists besides visiting Gembiraloka can stop by this tourism village.",Budaya,0,-7.8152776,110.3988359
Kauman Pakualaman Yogyakarta,"Pakualaman is a sub-district in Yogyakarta City, Special Region of Yogyakarta Province, Indonesia. This sub-district is located between the Code River and the Manunggal River. The name 'Pakualaman' is taken from Puro Paku Alaman, the official residence of Sri Paduka Pakualam which is located right in the middle of this sub-district. Previously, Pakualaman was not part of the city of Yogyakarta, but rather the Pakualaman City Regency, which was abolished after the formation of the Yogyakarta City Government in 1947.",Budaya,0,-7.8010347,110.3751922
Alun-alun Utara Keraton Yogyakarta,"The northern square or in Javanese called Alun-alun Lor is one of the landmarks of Yogyakarta City in the form of an open field located in front of the Yogyakarta Palace. It is called Alun-alun Lor because in Yogyakarta City there are two squares located to the south and north of the Yogyakarta Palace. Alun-alun Lor is square with an area of ​​150 x 150 meters with two large fenced banyan trees in the middle of the square. The two large banyan trees are named Kyai Dewandaru and Kyai Wijayandaru respectively. In the past, 63 banyan trees were planted around Alun-alun Lor which symbolized the age of the Prophet Muhammad SAW.",Budaya,0,-7.8038975,110.3644232
Pantai Goa Cemara,"Goa Cemara Beach (Javanese: ꦥꦱꦶꦱꦶꦂ​ ꦒꦸꦮ​ ꦕꦺꦩꦫ, translit. Pasisir Guwa Cemara​) is a beach tourist attraction located in Patihan Hamlet, Gadingsari Village, Sanden District, Bantul Regency. Special Region of Yogyakarta. This beach is located right next to Samas Beach and Pandansari Beach.\n\nThis beach has black but soft sand with quite large waves, characteristic of the south coast. This beach is a new development beach where there are many shady Cemara shrimp trees forming a cave, this is what makes this beach named Goa Cemara. These Cemara trees aim to protect against sea water abrasion and hold the sand dunes so that they do not move due to wind gusts.",Bahari,4000,-7.999423,110.248963
Blue Lagoon Jogja,"Blue Lagoon is one of the water tourism in Jogja that is already very famous and visited by many tourists from various regions. Many consider Blue Lagoon as a hidden tourist paradise in Jogja. Although the beauty offered by this place is very expensive, to be able to enjoy it you don't need to dig deep into your pockets. Because the budget to enter this tourist area is not as expensive as in Iceland.",Taman Hiburan,10000,-7.7044358,110.45026
Gumuk Pasir Parangkusumo,"Parangkusumo Sand Dunes (Javanese: ꦒꦸꦩꦸꦏ꧀​ꦥꦱꦶꦂ​ꦥꦫꦁ​ꦏꦸꦱꦸꦩ, translit. Parangkusuma Sand Dunes) is a tourist attraction in Bantul Regency, Yogyakarta, located to the west of Parangtritis Beach, namely in Parangtritis Village, Kretek District, Bantul Regency, Special Region of Yogyakarta. These sand dunes have a number of special features related to their limited number in the world.\nThe name ""Gumuk"" comes from Javanese which means vast sand dunes. Yogyakarta Sand Dunes are formed from material from Mount Merapi which then undergoes transportation through the Opak River and Progo River which are then carried by waves and settle on the beach. The material that settles then dries and is carried by the wind and then flies to land so that it undergoes a deposition process to become sand dunes.",Taman Hiburan,0,-8.0173266,110.3180791
Bukit Lintang Sewu,"Bukit Lintang Sewu originated when at night on this hill thousands of stars were seen stretching across the sky. In Javanese, Bukit Seribu Bintang is Bukit Lintang Sewu (lintang: star, sewu: thousand). The natural scenery that is no less enchanting makes Bukit Langit Sewu a favorite place for nature lovers. On the way to the hill, visitors will be presented with pine trees, but when they arrive, visitors will be presented with a panorama of the Kayu Putih forest which is the uniqueness of this tourist spot. Above the Kayu Putih trees, there are also falcons flying above the trees. In addition, visitors will also be spoiled with rows of mountains such as Mount Merbabu, Mount Sumbing, Menoreh, and Mount Merapi.",Taman Hiburan,2000,-7.9157997,110.4366436
Studio Alam Gamplong,"Studio Gamplong or Studio Alam Gamplong is a tourist attraction located in Gamplong Village, Moyudan District, Sleman Regency. The place was originally a shooting location for the film Sultan Agung: Tahta, Perjuangan, Cinta and Bumi Manusia by Hanung Bramantyo. The place was built on 2.5 hectares of land. The place was inaugurated by President Joko Widodo on July 15, 2018.",Taman Hiburan,10000,-7.8057936,110.2367304
Watu Lumbung,"The location of Watu Lumbung Educational Village which is located in a hilly area filled with lush teak trees, makes the scenery from this place very beautiful. Watu Lumbung was conceptualized by M Boy Rifai as a place that teaches educational values, where Boy Rifai has succeeded in transforming barren land that was previously left alone, now into an exotic place to enjoy the night or see the sunset and sunrise. To maintain the natural beauty of the area around the tourist spot, the manager deliberately built this area as a tourist area that is in harmony with nature.",Cagar Alam,5000,-7.9924379,110.317778
Air Terjun Kedung Pedut,"Kedung Pedut Waterfall or commonly called Curug Kedung Pedut comes from the Javanese term. Curug means waterfall, kedung means puddle or pool, and pedut means mist. Kedung Pedut Waterfall is one of the natural attractions in Kulonprogo which is known for the beauty of its water color.",Cagar Alam,20000,-7.7699875,110.1210707
